               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,             0.04675,            0.023367,           0.0055602,             0.91413,              0.8963,             0.92709,             0.43588,            0.042293,             0.01827,           0.0048742,            0.000637,            0.000637,            0.000637
                 112,            0.047898,            0.023869,           0.0055746,             0.93374,             0.88508,             0.91978,             0.43442,            0.042384,            0.018479,           0.0051924,           0.0006337,           0.0006337,           0.0006337
                 113,            0.047725,            0.023166,           0.0052067,             0.92793,              0.8907,             0.92316,              0.4424,            0.041957,            0.017598,           0.0049737,           0.0006304,           0.0006304,           0.0006304
                 114,            0.047935,            0.024175,           0.0054324,             0.94089,             0.85916,             0.91755,             0.43062,            0.043095,            0.018836,           0.0056212,           0.0006271,           0.0006271,           0.0006271
                 115,             0.04879,            0.024842,           0.0055811,             0.93305,             0.91643,             0.93923,             0.44652,            0.042378,            0.017603,           0.0041882,           0.0006238,           0.0006238,           0.0006238
                 116,            0.047148,            0.022309,            0.005369,             0.91556,              0.9058,             0.92434,             0.45637,            0.042273,            0.018108,           0.0048822,           0.0006205,           0.0006205,           0.0006205
                 117,            0.046197,            0.023156,           0.0049764,             0.94395,             0.89599,             0.93077,             0.44871,            0.042399,             0.01787,           0.0053896,           0.0006172,           0.0006172,           0.0006172
                 118,            0.047475,            0.024091,           0.0047282,             0.93676,             0.88558,             0.92256,             0.45641,            0.041694,            0.017993,           0.0050239,           0.0006139,           0.0006139,           0.0006139
                 119,            0.045329,             0.02242,           0.0047397,              0.9186,             0.88848,             0.92307,             0.44967,            0.042204,            0.018019,           0.0047295,           0.0006106,           0.0006106,           0.0006106
                 120,            0.046822,            0.022787,           0.0048251,             0.93566,              0.8758,              0.9279,              0.4509,            0.042501,            0.017652,           0.0051768,           0.0006073,           0.0006073,           0.0006073
                 121,            0.045738,            0.022203,           0.0049034,             0.94529,             0.86575,             0.92275,             0.43198,            0.042837,            0.018348,           0.0054589,            0.000604,            0.000604,            0.000604
                 122,            0.046672,            0.023116,           0.0048767,             0.93604,             0.86169,             0.92341,             0.43159,            0.043202,            0.017631,           0.0057314,           0.0006007,           0.0006007,           0.0006007
                 123,            0.047848,            0.023353,           0.0050744,             0.94126,             0.89215,             0.93284,             0.45687,             0.04179,            0.017269,           0.0051463,           0.0005974,           0.0005974,           0.0005974
                 124,            0.047205,            0.022551,           0.0052416,             0.93609,             0.91226,             0.94059,             0.46022,             0.04253,            0.017595,           0.0048449,           0.0005941,           0.0005941,           0.0005941
                 125,            0.046884,              0.0225,           0.0048511,              0.9331,             0.89861,             0.93268,             0.45501,            0.041412,            0.017528,           0.0060805,           0.0005908,           0.0005908,           0.0005908
